PERMNO,DATE,TICKER,COMNAM,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,OPENPRC,NUMTRD,RETX
11308,01/02/2019,KO,COCA COLA CO,46.55500,47.21500,46.93000,11603715,-0.008870,46.91000,46.92000,4256514,46.94000,,-0.008870
11308,01/03/2019,KO,COCA COLA CO,46.53000,47.37000,46.64000,14714413,-0.006179,46.64000,46.65000,4256514,46.82000,,-0.006179
11308,01/04/2019,KO,COCA COLA CO,46.64000,47.57000,47.57000,13013814,0.019940,47.55000,47.56000,4256514,46.75000,,0.019940
11308,01/07/2019,KO,COCA COLA CO,46.89500,47.75000,46.95000,13135484,-0.013033,46.94000,46.95000,4256514,47.57000,,-0.013033
11308,01/08/2019,KO,COCA COLA CO,47.03500,47.57000,47.48000,15420735,0.011289,47.45000,47.46000,4256514,47.25000,,0.011289
11308,01/09/2019,KO,COCA COLA CO,46.43000,47.28000,46.57000,18032543,-0.019166,46.56000,46.57000,4256514,47.08000,,-0.019166
11308,01/10/2019,KO,COCA COLA CO,46.34000,47.09000,47.07000,15976608,0.010737,47.04000,47.05000,4256514,46.66000,,0.010737
11308,01/11/2019,KO,COCA COLA CO,46.97000,47.35500,47.34000,11088619,0.005736,47.32000,47.33000,4256514,47.29000,,0.005736
11308,01/14/2019,KO,COCA COLA CO,46.99000,47.39660,47.15000,11514288,-0.004013,47.13000,47.14000,4256514,47.25000,,-0.004013
11308,01/15/2019,KO,COCA COLA CO,46.81000,47.60000,47.57000,11342944,0.008908,47.56000,47.57000,4256514,46.89000,,0.008908
11308,01/16/2019,KO,COCA COLA CO,46.86000,47.47000,46.92000,16907780,-0.013664,46.90000,46.91000,4256514,47.40000,,-0.013664
11308,01/17/2019,KO,COCA COLA CO,46.88000,47.13850,47.06000,12044612,0.002984,47.06000,47.07000,4256514,46.92000,,0.002984
11308,01/18/2019,KO,COCA COLA CO,47.12000,47.69000,47.61000,12760779,0.011687,47.61000,47.62000,4256514,47.25000,,0.011687
11308,01/22/2019,KO,COCA COLA CO,47.20500,47.79000,47.72000,11700444,0.002310,47.72000,47.73000,4256514,47.70000,,0.002310
11308,01/23/2019,KO,COCA COLA CO,47.65000,48.29000,48.27000,12058273,0.011526,48.26000,48.27000,4256514,47.82000,,0.011526
11308,01/24/2019,KO,COCA COLA CO,47.37500,48.11000,47.69000,10271980,-0.012016,47.68000,47.69000,4256514,48.11000,,-0.012016
11308,01/25/2019,KO,COCA COLA CO,47.24000,48.02500,47.37000,12066683,-0.006710,47.36000,47.37000,4256514,47.88000,,-0.006710
