PERMNO,date,TICKER,COMNAM,PERMCO,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,OPENPRC,NUMTRD,RETX
11308,01/02/2013,KO,COCA COLA CO,20468,36.66000,37.60000,37.60000,21877200,0.037241,37.59000,37.60000,4485162,36.99000,,0.037241
11308,01/03/2013,KO,COCA COLA CO,20468,37.11000,37.60000,37.60000,16358000,0.000000,37.58000,37.59000,4485162,37.45000,,0.000000
11308,01/04/2013,KO,COCA COLA CO,20468,37.52000,37.87000,37.66000,15311800,0.001596,37.65000,37.66000,4485162,37.65000,,0.001596
11308,01/07/2013,KO,COCA COLA CO,20468,37.10000,37.52000,37.30000,14610500,-0.009559,37.29000,37.30000,4485162,37.52000,,-0.009559
11308,01/08/2013,KO,COCA COLA CO,20468,36.91000,37.28000,37.04000,14328000,-0.006970,37.02000,37.03000,4485162,37.19000,,-0.006970
11308,01/09/2013,KO,COCA COLA CO,20468,36.83000,37.20000,37.03000,10563700,-0.000270,37.02000,37.03000,4485162,37.20000,,-0.000270
11308,01/10/2013,KO,COCA COLA CO,20468,36.76000,37.17000,36.96000,15604100,-0.001890,36.94000,36.95000,4485162,37.12000,,-0.001890
11308,01/11/2013,KO,COCA COLA CO,20468,36.52000,36.94000,36.91000,15644800,-0.001353,36.91000,36.92000,4485162,36.84000,,-0.001353
11308,01/14/2013,KO,COCA COLA CO,20468,36.80000,37.11000,36.99000,11001400,0.002167,36.99000,37.00000,4485162,36.95000,,0.002167
11308,01/15/2013,KO,COCA COLA CO,20468,36.80000,37.43000,37.32000,12721600,0.008921,37.32000,37.33000,4485162,36.99000,,0.008921
11308,01/16/2013,KO,COCA COLA CO,20468,37.12000,37.41500,37.32000,9168500,0.000000,37.30000,37.31000,4485162,37.21000,,0.000000
11308,01/17/2013,KO,COCA COLA CO,20468,37.33000,37.66000,37.51000,12122700,0.005091,37.51000,37.52000,4485162,37.43000,,0.005091
11308,01/18/2013,KO,COCA COLA CO,20468,37.30500,37.71000,37.70000,14060900,0.005065,37.69000,37.70000,4485162,37.49000,,0.005065
